City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Ketchikan,US,2022-05-31 04:02:38,55.3422,-131.6461,59.34,80,22,0.92
111,Singkang,MY,2022-05-31 04:02:38,2.1006,102.7994,89.42,57,85,5.06
112,Cabra,ES,2022-05-31 04:02:39,37.4725,-4.4421,57.76,75,37,0.43
113,Port Lincoln,AU,2022-05-31 04:02:39,-34.7333,135.8667,56.68,54,87,24.43
114,Dzaoudzi,YT,2022-05-31 04:02:40,-12.7887,45.2699,78.69,69,0,12.66
115,Wheeling,US,2022-05-31 04:02:40,42.1392,-87.929,80.83,52,20,13.8
116,Bambous Virieux,MU,2022-05-31 04:02:40,-20.3428,57.7575,76.21,66,69,17.67
117,Hilo,US,2022-05-31 04:02:41,19.7297,-155.09,81.28,95,95,5.01
118,Saint-Philippe,RE,2022-05-31 04:02:41,-21.3585,55.7679,71.19,71,40,13.94
119,Chapais,CA,2022-05-31 04:02:42,49.7834,-74.8492,39.94,87,99,5.35
120,Kunda,IN,2022-05-31 04:02:42,25.7167,81.5167,105.89,14,38,3.13
121,Nouadhibou,MR,2022-05-31 04:02:43,20.931,-17.0347,67.1,90,83,18.54
122,Pevek,RU,2022-05-31 04:02:43,69.7008,170.3133,34.93,86,100,5.66
123,Klaksvik,FO,2022-05-31 04:02:43,62.2266,-6.589,45.52,91,35,11.18
124,Prince Rupert,CA,2022-05-31 04:02:44,54.3161,-130.3201,48.29,100,100,2.3
125,Adamovka,RU,2022-05-31 04:02:45,51.5223,59.9396,60.19,49,30,11.92
126,Kharp,RU,2022-05-31 04:02:45,66.8014,65.8081,50.7,43,24,4.25
127,Beringovskiy,RU,2022-05-31 04:02:46,63.05,179.3167,37.22,83,35,6.02
128,Fairlie,GB,2022-05-31 04:02:46,55.756,-4.8556,47.23,91,98,5.48
129,Castro,BR,2022-05-31 04:02:46,-24.7911,-50.0119,57.83,98,100,4.27
130,Daur,PK,2022-05-31 04:02:47,26.4583,68.3192,93.11,10,3,9.26
131,Faanui,PF,2022-05-31 04:02:47,-16.4833,-151.75,80.22,68,71,11.36
132,Ahuimanu,US,2022-05-31 04:02:48,21.4447,-157.8378,83.91,69,40,11.5
133,Topsham,US,2022-05-31 04:02:48,43.9276,-69.9759,68.65,84,100,4.29
134,Menongue,AO,2022-05-31 04:02:48,-14.6585,17.691,50.04,61,0,4.18
135,Floro,NO,2022-05-31 04:02:49,61.5996,5.0328,50.07,93,75,0.0
136,San Francisco,US,2022-05-31 04:01:43,37.7749,-122.4194,63.28,75,20,24.16
137,Aklavik,CA,2022-05-31 04:03:49,68.2191,-135.0107,36.77,100,100,2.93
138,Beloha,MG,2022-05-31 04:03:50,-25.1667,45.05,60.73,87,0,3.27
139,Cabo San Lucas,MX,2022-05-31 04:01:01,22.8909,-109.9124,76.6,65,1,4.0
140,Bawku,GH,2022-05-31 04:03:50,11.0616,-0.2417,81.59,69,100,4.79
141,Khatanga,RU,2022-05-31 04:03:51,71.9667,102.5,40.64,60,79,7.18
142,Salta,AR,2022-05-31 04:03:51,-24.7859,-65.4117,44.58,93,100,1.99
143,Pacific Grove,US,2022-05-31 04:03:51,36.6177,-121.9166,56.1,83,20,15.99
144,Port Keats,AU,2022-05-31 04:03:52,-14.25,129.55,85.01,57,100,7.92
145,Geraldton,AU,2022-05-31 04:03:52,-28.7667,114.6,68.41,42,88,21.85
146,Morwell,AU,2022-05-31 04:03:52,-38.2333,146.4,48.34,90,81,11.43
147,Pochutla,MX,2022-05-31 04:03:53,15.7432,-96.4661,74.82,91,100,1.43
148,Sijunjung,ID,2022-05-31 04:03:54,-0.6876,100.9537,89.42,46,67,1.88
149,Lishui,CN,2022-05-31 04:03:56,28.4604,119.9103,73.15,99,100,2.37
150,Austin,US,2022-05-31 03:59:43,30.2672,-97.7431,82.65,76,3,7.0
151,Severo-Kurilsk,RU,2022-05-31 04:03:56,50.6789,156.125,44.56,86,77,6.08
152,Novikovo,RU,2022-05-31 04:03:57,51.1537,37.8879,60.46,87,99,10.33
153,Sitka,US,2022-05-31 04:03:58,57.0531,-135.33,53.49,76,0,3.44
154,Eureka,US,2022-05-31 04:03:59,40.8021,-124.1637,53.2,82,5,5.01
155,Mehran,IR,2022-05-31 04:04:00,33.1222,46.1646,92.93,13,0,7.05
156,Yar-Sale,RU,2022-05-31 04:04:00,66.8333,70.8333,46.81,42,18,14.41
157,Camacha,PT,2022-05-31 04:04:01,33.0833,-16.3333,60.22,67,40,11.5
158,Ilulissat,GL,2022-05-31 04:04:01,69.2167,-51.1,33.82,86,75,11.5
159,Padang,ID,2022-05-31 04:04:02,-0.9492,100.3543,87.85,64,55,5.7
160,Cayenne,GF,2022-05-31 04:00:14,4.9333,-52.3333,76.08,1,75,8.05
161,Mar Del Plata,AR,2022-05-31 03:59:23,-38.0023,-57.5575,43.09,80,0,5.99
162,Kot Addu,PK,2022-05-31 04:04:02,30.4692,70.9671,99.27,15,0,8.19
163,Cristalina,BR,2022-05-31 04:03:48,-16.7686,-47.6136,58.3,50,4,2.06
164,Oranjemund,NA,2022-05-31 04:04:03,-28.55,16.4333,51.31,63,0,8.23
165,Mulanje,MW,2022-05-31 04:04:04,-16.0316,35.5,62.19,90,78,5.23
166,Pandan,PH,2022-05-31 04:04:04,14.0453,124.1694,81.18,81,97,3.02
167,Hermanus,ZA,2022-05-31 04:04:04,-34.4187,19.2345,55.78,77,1,9.6
168,Bambanglipuro,ID,2022-05-31 04:04:05,-7.95,110.2833,84.56,68,63,4.72
169,Ambon,ID,2022-05-31 04:04:05,-3.6954,128.1814,91.54,55,20,4.61
170,Saldanha,ZA,2022-05-31 04:04:06,-33.0117,17.9442,54.82,78,18,3.94
171,Provideniya,RU,2022-05-31 04:04:06,64.3833,-173.3,42.91,75,0,4.47
172,Chokurdakh,RU,2022-05-31 04:04:07,70.6333,147.9167,51.6,53,99,11.61
173,Te Anau,NZ,2022-05-31 04:04:07,-45.4167,167.7167,56.19,79,83,3.96
174,Hobyo,SO,2022-05-31 04:04:08,5.3505,48.5268,79.34,79,6,22.21
175,Swan River,CA,2022-05-31 04:04:08,52.1058,-101.2676,46.99,88,100,18.9
176,Sapozhok,RU,2022-05-31 04:04:08,53.9419,40.6806,56.03,79,100,5.5
177,Udachnyy,RU,2022-05-31 04:04:09,66.4167,112.4,53.28,41,93,4.61
178,Nador,MA,2022-05-31 04:04:09,35.174,-2.9287,64.65,72,0,5.75
179,Inirida,CO,2022-05-31 04:04:10,3.8653,-67.9239,72.59,98,36,1.88
180,Yulara,AU,2022-05-31 04:02:43,-25.2406,130.9889,59.31,35,99,6.8
181,Taksimo,RU,2022-05-31 04:05:10,56.3444,114.8794,58.59,37,69,2.04
182,Asau,RO,2022-05-31 04:05:11,46.4333,26.4,62.96,68,56,2.71
183,Alice Springs,AU,2022-05-31 04:05:11,-23.7,133.8833,56.75,44,100,6.91
184,Karratha,AU,2022-05-31 04:05:12,-20.7377,116.8463,67.05,81,94,18.59
185,Sorland,NO,2022-05-31 04:05:12,67.667,12.6934,49.86,83,53,10.65
186,Parrita,CR,2022-05-31 04:05:12,9.5201,-84.3225,78.33,85,98,1.54
187,Winfield,US,2022-05-31 04:05:13,37.2398,-96.9956,76.44,83,0,13.8
188,Meadow Lake,US,2022-05-31 04:05:13,34.8014,-106.5436,72.88,16,0,11.5
189,Broken Hill,AU,2022-05-31 04:05:14,-31.95,141.4333,57.25,49,62,25.17
190,Lasa,IT,2022-05-31 04:05:14,46.6166,10.7002,50.68,95,99,2.01
191,Kruisfontein,ZA,2022-05-31 04:05:15,-34.0033,24.7314,52.88,74,7,20.67
