Hotel_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
482,Mayumba,GA,72.12,-3.432,10.6554,LIKWALE LODGE
486,Bismil,TR,78.53,37.8486,40.6658,Hotel Dolay
488,Oussouye,SN,76.1,12.485,-16.5469,Auberge du Routard
497,College,US,76.06,64.8569,-147.8028,Pike's Waterfront Lodge
498,Maceio,BR,74.64,-9.6658,-35.7353,Hotel Ponta Verde Maceió
503,Ganzhou,CN,76.8,28.8184,115.4327,Zhanqian Grand Hotel
514,Tucumcari,US,71.44,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
523,Enid,US,78.98,36.3956,-97.8784,Ramada by Wyndham Enid
524,Santa Rita,BR,75.87,-7.1139,-34.9781,Infinity Motel
525,Shingu,JP,70.75,33.7333,135.9833,Shingu UI Hotel
528,Sambava,MG,73.65,-14.2667,50.1667,Melrose
530,Westport,US,73.62,41.1415,-73.3579,The Westport Inn
540,Takaungu,KE,76.32,-3.6837,39.8566,Takaungu House
541,Turayf,SA,76.84,31.6725,38.6637,Turaif
553,Cumpas,MX,73.42,29.9833,-109.7833,Hotel La Palma
559,Tarrafal,CV,74.19,15.2833,-23.7667,Hotel Ixola
560,Rock Sound,BS,78.57,24.9,-76.2,Pink Corral Bay Property
